Field=#~Integer~#~50|Field=Comment~String~Comment~200|Field=Description~String~Description~200|Field=Designator~String~Designator~200|Field=Footprint~String~Footprint~200|Field=LibRef~String~LibRef~200|Field=Quantity~Integer~Quantity~200|Field=Farnell PN~String~Farnell PN~200|Field=Digikey~String~Digikey~200|ReportField=Currency~<none>|ReportField=ProductionQuantity~1|ReportField=ProjectFileName~DigitalLabBoard.PrjPCB|ReportField=ProjectFullPath~C:\Users\podonoghue\Documents\Development\DigitalLabBoard\PCB_Design\DigitalLabBoard.PrjPCB|ReportField=Title~Bill of Materials For Project [DigitalLabBoard.PrjPCB] (No PCB Document Selected)|ReportField=ReportTime~3:55:07 PM|ReportField=ReportDate~31/10/2019|ReportField=ReportDateTime~31/10/2019 3:55:07 PM|ReportField=OutputName~Bill of Materials|ReportField=OutputType~BOM_PartType|ReportField=GeneratorName~BOM|ReportField=GeneratorDescription~Bill of Materials|ReportField=VariantName~None|ReportField=TotalQuantity~158|ReportField=TotalActualPrice~0|ReportField=TotalTargetPrice~0|ReportField=VersionControl_RevNumber~|ReportField=VersionControl_ProjFolderRevNumber~5030e99b07042f893ff0d18451b8bd8f1c43c36d|ReportField=Address1~|ReportField=Address2~|ReportField=Address3~|ReportField=Address4~|ReportField=Application_BuildNumber~|ReportField=ApprovedBy~|ReportField=Author~|ReportField=CheckedBy~|ReportField=CompanyName~|ReportField=CurrentDate~31/10/2019|ReportField=CurrentTime~3:46:24 PM|ReportField=Date~|ReportField=DocumentFullPathAndName~C:\Users\podonoghue\Documents\Development\DigitalLabBoard\PCB_Design\DigitalLabBoard_Die.SchDoc|ReportField=DocumentName~DigitalLabBoard_Die.SchDoc|ReportField=DocumentNumber~|ReportField=DrawnBy~|ReportField=Engineer~|ReportField=ImagePath~|ReportField=ModifiedDate~31/10/2019|ReportField=Organization~|ReportField=ProjectName~DigitalLabBoard.PrjPCB|ReportField=Revision~|ReportField=Rule~|ReportField=SheetNumber~|ReportField=SheetTotal~|ReportField=Time~|ReportField=Title~|ReportField=DataSourceFileName~DigitalLabBoard.PrjPCB|ReportField=DataSourceFullPath~C:\Users\podonoghue\Documents\Development\DigitalLabBoard\PCB_Design\DigitalLabBoard.PrjPCB|ReportField=PCBConfigurationName~Sources|ReportField=Item~|ReportField=ItemRevision~|ReportField=ItemAndRevision~|ReportField=ItemRevisionBase~|ReportField=ItemRevisionLevel1~|ReportField=ItemRevisionLevel2~|ReportField=ItemRevisionLevel1AndBase~|ReportField=ItemRevisionLevel2AndLevel1~
1|Breadboard - 300 Hole||B1|Breadboard - 300 holes|Breadboard - 300 holes|1||
2|100nF|Capacitor non-polar SMT 0603|C1, C2, C3, C4, C5, C6, C7|CCNP1608-0603|Cap_CCNP_0603|7||
3|2.2uF|Capacitor|C8|CCNP1608-0603|Cap|1||
4|1uF|Capacitor|C9|CCNP1608-0603|Cap|1||
5|10uF|Capacitor|C10, C11|CCNP2012-0805|Cap|2||
6|10nF|Capacitor|C12|CCNP1608-0603|Cap|1||
7|LED Red|LED 0603 Red|D1, D2, D3, D4, D5, D6, D7, D8, D17, D_CLOCK, D_REW, D_RNS, DIE_LED_A, DIE_LED_B1, DIE_LED_B2, DIE_LED_C1, DIE_LED_C2, DIE_LED_D1, DIE_LED_D2, LED_0, LED_1, LED_2, LED_3, LED_4, LED_5, LED_6, LED_7, Step_LED0, Step_LED1, Step_LED2, Step_LED3, Step_LED4, Step_LED5, Step_LED6, Step_LED7, Step_LED8, Step_LED9, Step_LED10, Step_LED11|LED1608-0603-RED|LED-0603-Red|39|1581239|
8|LED Yellow|LED 0603 Yellow|D_AEW, D_ANS|LED1608-0603-Yellow|LED-0603-Yellow|2|5790852|
9|LED Green|LED 0603 Green|D_GEW, D_GNS, D_PEW, D_PNS|LED1608-0603-GREEN|LED-0603-Green|4|1581242|
10|MC36205|PPTC Resettable Fuse|F1|CR3225-1210|MC36205|1|1861178|
11|2x5 Header|Header 2x8|J1, J2, J3, J4|HDR2X8S|Header 2x8a|4||
12|2x5 Header|Header 2x4|J5, J6|HDR2X4S|Header 2x4a|2||
13|2x5 Header|Header 2x3|J7|HDR2X3S|Header 2x3a|1||
14|OLED_Display||OLED|OLED_Display|OLED_Display|1||
15|SWD2X5|SWD Connector 2x5-Pin|P1|SWD-2x5|SWD2X5|1||
16|Header 2x2|Header, Female, 2x2-Pin|P2, P3|HDR_FEM2X2S|Header Female 2x2S|2||
17|4.7K|Resistor|R1, R2|CR1608-0603|Res|2||
18|1K|Resistor SMT 0603, Resistor|R3, R4, R5, R6, R7, R8, R9, R10, R11, R12, R13, R14, R15, R16, R17, R18, R19, R20, R24, R32|CR1608-0603|Res_CR0603, Res|20||
19|680R|Resistor SMT 0603|R21, R25|CR1608-0603|Res_CR0603|2||
20|820R|Resistor SMT 0603|R22, R23, R26, R27|CR1608-0603|Res_CR0603|4||
21|33|Resistor|R28, R31|CR1608-0603|Res|2||
22|5.1K|Resistor SMT 0603|R29, R30|CR1608-0603|Res_CR0603|2||
23|10K|Resistor SMT 0603, Resistor|R33, R34, R37|CR1608-0603|Res_CR0603, Res|3||
24|15K|Resistor|R35|CR1608-0603|Res|1||
25|100|Resistor SMT 0603|R36|CR1608-0603|Res_CR0603|1||
26|470ohm|SMT x4 Resistor Array|RA1, RA2, RA3, RA6, RA7, RA8, RA10, RA14|CR1206-0603_X4|Res_CR0603x4|8||
27|10K|SMT x4 Resistor Array|RA4, RA5, RA9, RA13, RA16, RA17|CR1206-0603_X4|Res_CR0603x4|6||
28|1K|SMT x4 Resistor Array|RA11, RA12|CR1206-0603_X4|Res_CR0603x4|2||
29|100|SMT x4 Resistor Array|RA15|CR1206-0603_X4|Res_CR0603x4|1||
30|SW_PB|Tactile Switch, Top Actuated, Surface Mount, Round Button|S1, S2, S3, S4, S5, S6, S7, S8, S_CEW, S_CNW, S_FREQ_DOWN, S_FREQ_UP, S_PEW, S_PNS, TEST_BTN|SW-SMD-4_5.1x5.1x2|SW_PB-ALPS-SKQGAFE010|15|9471880|
31|EG1218|Small PCB slide switch   E-Switch EG1218|S9|Slide Switch -  EG1218|SW-SLIDE_EG1218|1||
32|MK20DX128VLF5|Arm Cortex M4|U1|TSQFP50P900X900-48M|MK20DX128VLF5|1||
33|PCA9555PW|16-bit I2C I/O Expander (TSSOP24)|U2, U4|SOP65P780-24L|PCA9555PW|2||
