Altium Designer Pick and Place Locations
C:\Users\podonoghue\Documents\Development\DigitalLabBoard\PCB_Design\DigitalLabBoard_V3 2-01-2020 1-14-30 PM\Pick Place for DigitalLabBoard.csv

========================================================================================================================
File Design Information:

Date:       02/01/20
Time:       13:14
Revision:   cf3147dc724e7391e3c2dbb472a54f26a6ae60d4
Variant:    No variations
Units used: mil

"Designator","Comment","Layer","Footprint","Center-X(mil)","Center-Y(mil)","Rotation","Description"
"R45","100R","TopLayer","CR1608-0603","-338.000","1614.000","0","Resistor SMT 0603"
"R44","100R","TopLayer","CR1608-0603","-338.000","1669.000","0","Resistor SMT 0603"
"R43","100R","TopLayer","CR1608-0603","-338.000","1724.000","0","Resistor SMT 0603"
"R42","100R","TopLayer","CR1608-0603","-338.000","1779.000","0","Resistor SMT 0603"
"R28","33R","TopLayer","CR1608-0603","3170.000","526.000","360","Resistor SMT 0603"
"C8","2.2uF","TopLayer","CCNP1608-0603","3170.000","428.000","360","Capacitor"
"R39","1K","TopLayer","CR1608-0603","-425.000","2959.960","180","Resistor SMT 0603"
"D_Pass","LED Green","TopLayer","LED1608-0603-GREEN","-425.000","2902.165","360","LED 0603 Green"
"R41","1K","TopLayer","CR1608-0603","-430.000","2736.000","180","Resistor SMT 0603"
"D_Fail","LED Red","TopLayer","LED1608-0603-RED","-430.000","2681.000","360","LED 0603 Red"
"RN19","1K","TopLayer","CR1206-0603_X4_L","3861.012","1172.000","270","SMT x4 Resistor Array"
"R37","10K","TopLayer","CR1608-0603","-310.000","2515.000","180","Resistor SMT 0603"
"Z11","CM1293A-04SO","TopLayer","SOT457_N","-343.000","1468.000","360","Ultra low capacitance quadruple rail-to-rail ESD protection"
"P9","Header, 6-Pin","TopLayer","HDR1X6S","-334.331","2154.960","90","Header, 6-Pin"
"RN15","470R","TopLayer","CR1206-0603_X4_L","3674.953","920.141","270","SMT x4 Resistor Array"
"C14","100nF","TopLayer","CCNP1608-0603","1209.417","3419.960","270","Capacitor non-polar SMT 0603"
"Z10","CM1293A-04SO","TopLayer","SOT457_N","1594.417","3383.960","0","Ultra low capacitance quadruple rail-to-rail ESD protection"
"Z4","CM1293A-04SO","TopLayer","SOT457_N","1362.417","3889.960","360","Ultra low capacitance quadruple rail-to-rail ESD protection"
"Z3","CM1293A-04SO","TopLayer","SOT457_N","1362.417","3709.960","360","Ultra low capacitance quadruple rail-to-rail ESD protection"
"RN12","470R","TopLayer","CR1206-0603_X4_L","3668.417","3439.960","270","SMT x4 Resistor Array"
"Z5","CM1293A-04SO","TopLayer","SOT457_N","3299.417","3629.960","0","Ultra low capacitance quadruple rail-to-rail ESD protection"
"R31","33R","TopLayer","CR1608-0603","3170.000","477.000","360","Resistor SMT 0603"
"M6","Plastic Bumper","BottomLayer","Bumper_RBS-2","-1335.583","-1060.040","180","Plastic bumper/foot"
"M2","Plastic Bumper","BottomLayer","Bumper_RBS-2","-1335.583","-1060.040","180","Plastic bumper/foot"
"R40","470R","TopLayer","CR1608-0603","3284.000","739.560","360","Resistor SMT 0603"
"U2","PCA9555PW,118","TopLayer","TSSOP24_N","3583.417","1569.960","270","16-bit I2C I/O Expander (TSSOP24)
PUPs on I/O pins"
"C13","100nF","TopLayer","CCNP1608-0603","364.417","742.960","90","Capacitor non-polar SMT 0603"
"P1","Header 2x8","TopLayer","HDR2X8S","3865.992","3239.960","90","Header 2x8"
"D_AEW","LED Yellow","TopLayer","LED1608-0603-YELLOW","5095.992","2949.960","90","LED 0603 Yellow"
"D_ANS","LED Yellow","TopLayer","LED1608-0603-YELLOW","5085.992","3539.960","180","LED 0603 Yellow"
"D_GEW","LED Green","TopLayer","LED1608-0603-GREEN","5145.992","2949.960","90","LED 0603 Green"
"D_GNS","LED Green","TopLayer","LED1608-0603-GREEN","5085.992","3589.960","180","LED 0603 Green"
"D_PEW","LED Green","TopLayer","LED1608-0603-GREEN","4975.992","2804.960","90","LED 0603 Green"
"D_PNS","LED Green","TopLayer","LED1608-0603-GREEN","4360.992","3059.960","360","LED 0603 Green"
"D_REW","LED Red","TopLayer","LED1608-0603-RED","5045.992","2949.960","90","LED 0603 Red"
"D_RNS","LED Red","TopLayer","LED1608-0603-RED","5085.992","3489.960","180","LED 0603 Red"
"S_CNW","SMD-SW-4_5.1x5.1x2.0_M","TopLayer","SMD-SW-4_5.1x5.1x2.0_M","4905.992","3689.960","270","Tactile Switch SPST 5.10mm X 5.10mm
(1.5mm=C318884)
(2.0mm=C318888)
(3.5mm=C318886)"
"S_CEW","SMD-SW-4_5.1x5.1x2.0_M","TopLayer","SMD-SW-4_5.1x5.1x2.0_M","5245.992","3129.960","180","Tactile Switch SPST 5.10mm X 5.10mm
(1.5mm=C318884)
(2.0mm=C318888)
(3.5mm=C318886)"
"S_PNS","SMD-SW-4_5.1x5.1x2.0_M","TopLayer","SMD-SW-4_5.1x5.1x2.0_M","4365.992","3629.960","360","Tactile Switch SPST 5.10mm X 5.10mm
(1.5mm=C318884)
(2.0mm=C318888)
(3.5mm=C318886)"
"S_PEW","SMD-SW-4_5.1x5.1x2.0_M","TopLayer","SMD-SW-4_5.1x5.1x2.0_M","4405.992","2809.960","90","Tactile Switch SPST 5.10mm X 5.10mm
(1.5mm=C318884)
(2.0mm=C318888)
(3.5mm=C318886)"
"R20","1K","TopLayer","CR1608-0603","5045.992","2821.771","90","Resistor SMT 0603"
"R21","560R","TopLayer","CR1608-0603","5095.992","2821.771","90","Resistor SMT 0603"
"R22","1K","TopLayer","CR1608-0603","5145.992","2821.771","90","Resistor SMT 0603"
"R23","1K","TopLayer","CR1608-0603","4940.992","2704.960","360","Resistor SMT 0603"
"R24","1K","TopLayer","CR1608-0603","5214.181","3489.960","180","Resistor SMT 0603"
"R25","560R","TopLayer","CR1608-0603","5214.181","3539.960","180","Resistor SMT 0603"
"R26","1K","TopLayer","CR1608-0603","5214.181","3589.960","180","Resistor SMT 0603"
"R27","1K","TopLayer","CR1608-0603","4260.992","3094.960","270","Resistor SMT 0603"
"DIE_LED_A","LED Red","TopLayer","LED1608-0603-RED","5050.992","1979.960","270","LED 0603 Red"
"DIE_LED_B1","LED Red","TopLayer","LED1608-0603-RED","4850.992","2179.960","270","LED 0603 Red"
"DIE_LED_B2","LED Red","TopLayer","LED1608-0603-RED","5250.992","1779.960","270","LED 0603 Red"
"DIE_LED_C1","LED Red","TopLayer","LED1608-0603-RED","5250.992","2179.960","270","LED 0603 Red"
"DIE_LED_C2","LED Red","TopLayer","LED1608-0603-RED","4850.992","1779.960","270","LED 0603 Red"
"DIE_LED_D1","LED Red","TopLayer","LED1608-0603-RED","4850.992","1979.960","270","LED 0603 Red"
"DIE_LED_D2","LED Red","TopLayer","LED1608-0603-RED","5250.992","1979.960","270","LED 0603 Red"
"RN10","1K","TopLayer","CR1206-0603_X4_L","4608.992","1895.952","270","SMT x4 Resistor Array"
"RN8","1K","TopLayer","CR1206-0603_X4_L","4608.992","2065.952","270","SMT x4 Resistor Array"
"Step_LED1","LED Red","TopLayer","LED1608-0603-RED","4870.992","1290.960","0","LED 0603 Red"
"Step_LED2","LED Red","TopLayer","LED1608-0603-RED","4680.992","1240.050","30","LED 0603 Red"
"Step_LED3","LED Red","TopLayer","LED1608-0603-RED","4541.902","1100.960","60","LED 0603 Red"
"Step_LED4","LED Red","TopLayer","LED1608-0603-RED","4490.992","910.960","90","LED 0603 Red"
"Step_LED5","LED Red","TopLayer","LED1608-0603-RED","4541.902","704.960","120","LED 0603 Red"
"Step_LED6","LED Red","TopLayer","LED1608-0603-RED","4680.992","581.870","150","LED 0603 Red"
"Step_LED7","LED Red","TopLayer","LED1608-0603-RED","4870.992","530.960","180","LED 0603 Red"
"Step_LED8","LED Red","TopLayer","LED1608-0603-RED","5060.992","581.870","210","LED 0603 Red"
"Step_LED9","LED Red","TopLayer","LED1608-0603-RED","5200.082","720.960","240","LED 0603 Red"
"Step_LED10","LED Red","TopLayer","LED1608-0603-RED","5250.992","910.960","270","LED 0603 Red"
"Step_LED11","LED Red","TopLayer","LED1608-0603-RED","5200.082","1100.960","300","LED 0603 Red"
