Altium Designer Pick and Place Locations
C:\Users\podonoghue\Documents\Development\DigitalLabBoard\PCB_Design\Project Outputs for DigitalLabBoard\Pick Place for DigitalLabBoard.csv

========================================================================================================================
File Design Information:

Date:       04/11/19
Time:       15:03
Revision:   95cade3a9617c1558dcebebc3534ee0fa7f9da93
Variant:    No variations
Units used: mil

"Designator","Layer","Center-X(mil)","Center-Y(mil)","Rotation"
"M9","BottomLayer","0.000","0.000","180"
"M8","BottomLayer","0.000","0.000","180"
"M7","BottomLayer","0.000","0.000","180"
"M6","BottomLayer","0.000","0.000","180"
"M5","BottomLayer","0.000","0.000","180"
"B1","TopLayer","0.000","0.000","180"
"J8","TopLayer","1262.635","1750.000","0"
"S_FREQ_UP","TopLayer","1450.000","4499.055","180"
"S_FREQ_DOWN","TopLayer","1450.000","4750.000","180"
"R30","TopLayer","1480.000","1615.000","360"
"R29","TopLayer","1480.000","1867.130","360"
"Z9","TopLayer","1490.000","1745.000","0"
"R33","TopLayer","1550.000","4940.000","360"
"R34","TopLayer","1550.000","4890.000","360"
"OLED","TopLayer","1700.000","4900.000","360"
"F1","TopLayer","1700.000","1905.000","360"
"R37","TopLayer","1755.000","1740.000","90"
"R35","TopLayer","1790.000","1575.000","180"
"U6","TopLayer","1873.150","1735.000","270"
"C10","TopLayer","1875.000","1905.000","180"
"C12","TopLayer","1928.150","1605.000","90"
"C11","TopLayer","2015.000","1735.000","90"
"POWER_BTN","TopLayer","2265.000","1530.000","90"
"D17","TopLayer","2265.000","1756.850","180"
"P7","TopLayer","2362.000","4470.000","180"
"R19","TopLayer","2440.000","1794.055","90"
"RN3","TopLayer","2535.590","4767.011","90"
"RN4","TopLayer","2535.590","4952.579","90"
"R36","TopLayer","2562.000","4480.000","270"
"R3","TopLayer","2655.000","1485.000","180"
"S8","TopLayer","2655.000","1250.000","90"
"D8","TopLayer","2655.000","1535.000","180"
"D_CLOCK","TopLayer","2657.000","4480.000","90"
"Z3","TopLayer","2657.000","4782.759","180"
"Z4","TopLayer","2660.000","4937.481","180"
"R32","TopLayer","2757.000","4480.000","270"
"R4","TopLayer","2885.000","1485.000","180"
"S7","TopLayer","2885.000","1250.000","90"
"D7","TopLayer","2885.000","1535.000","180"
"U3","TopLayer","2903.000","4860.000","270"
"C6","TopLayer","2975.110","5030.000","180"
"P3","TopLayer","3060.000","1940.000","180"
"RN6","TopLayer","3060.590","4547.756","270"
"RN5","TopLayer","3060.590","4402.756","270"
"R5","TopLayer","3115.000","1485.000","180"
"S6","TopLayer","3115.000","1250.000","90"
"D6","TopLayer","3115.000","1535.000","180"
"R18","TopLayer","3256.535","5008.986","180"
"LED_7","TopLayer","3256.535","5058.986","180"
"R6","TopLayer","3345.000","1485.000","180"
"S5","TopLayer","3345.000","1250.000","90"
"D5","TopLayer","3345.000","1535.000","180"
"R17","TopLayer","3406.535","5008.986","180"
"LED_6","TopLayer","3406.535","5058.986","180"
"R16","TopLayer","3556.535","5008.986","180"
"LED_5","TopLayer","3556.535","5058.986","180"
