Altium Designer Pick and Place Locations
C:\Users\podonoghue\Documents\Development\DigitalLabBoard\PCB_Design\Project Outputs for DigitalLabBoard\Pick Place for DigitalLabBoard.csv

========================================================================================================================
File Design Information:

Date:       06/11/19
Time:       23:48
Revision:   e5239c892a4637b7401fa398a8824dd38e0c6cfb
Variant:    No variations
Units used: mm

"Designator","Footprint","Center-X(mm)","Center-Y(mm)","Ref-X(mm)","Ref-Y(mm)","Pad-X(mm)","Pad-Y(mm)","Layer","Rotation"
"M5","BUMPER_RBS-2","0.0000","0.0000","166.9238","32.9238","0.0000","0.0000","BottomLayer","180"
"M6","BUMPER_RBS-2","0.0000","0.0000","166.9238","125.9238","0.0000","0.0000","BottomLayer","180"
"M9","BUMPER_RBS-2","0.0000","0.0000","102.9230","79.4250","0.0000","0.0000","BottomLayer","180"
"M8","BUMPER_RBS-2","0.0000","0.0000","33.9238","125.9238","0.0000","0.0000","BottomLayer","180"
"M7","BUMPER_RBS-2","0.0000","0.0000","33.9238","32.9238","0.0000","0.0000","BottomLayer","180"
"B1","BREADBOARD_-_300_HOLES","0.0000","0.0000","70.2610","81.9630","0.0000","0.0000","TopLayer","180"
"J8","USB4085-GF-A","34.2299","44.4500","32.3850","44.4500","36.4099","47.4251","TopLayer","0"
"S_FREQ_UP","SMD-SW-4_5.1x5.1x3.5","36.8300","114.2760","36.8300","114.2760","33.8300","116.1510","TopLayer","180"
"S_FREQ_DOWN","SMD-SW-4_5.1x5.1x3.5","36.8300","120.6500","36.8300","120.6500","33.8300","122.5250","TopLayer","180"
"R33","CR1608-0603","39.3700","125.4760","39.3700","125.4760","38.5200","125.4760","TopLayer","360"
"R34","CR1608-0603","39.3700","124.2060","39.3700","124.2060","38.5200","124.2060","TopLayer","360"
"R30","CR1608-0603","39.7510","41.0210","39.7510","41.0210","38.9010","41.0210","TopLayer","360"
"R29","CR1608-0603","39.7510","47.4251","39.7510","47.4251","38.9010","47.4251","TopLayer","360"
"Z9","SOT23-6_N","40.0050","44.3230","40.0050","44.3230","38.8050","45.2730","TopLayer","180"
"C13","CCNP1608-0603","43.1800","43.5356","43.1800","43.5356","43.1800","42.6856","TopLayer","90"
"OLED","OLED_Display_128x32","43.1800","124.4600","43.1800","128.2700","43.1800","120.6500","TopLayer","360"
"F1","SMD0805-050","44.0690","48.3870","44.0690","48.3870","42.9690","48.3870","TopLayer","360"
